,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th
1931,1.3288999795913696,12.436199091871245,0.03840840276494547,0.03851236061532833,61.69742425876039,11.998573455267447,9.914621186744753,1.5942756027099843,0.1523408040378027,0.2322138529302138,1.923835045466792,0.4029297162445815,0.43425523983741643,82.20983761575172,11.87841495597084,20.292845061253217
1933,0.17730000615119934,10.335881560954176,0.030501830439428793,0.03256888822340394,93.66964820138422,7.182605387275316,7.855564286944414,2.644800916170631,0.2388515546573422,0.30228491581886807,1.9281858438368216,0.42796731400576316,0.42175299145267053,51.94126892582183,5.047167817437092,5.209251506506789
1934,0.26660001277923584,10.857115754600361,0.025640854474946594,0.026198580872439668,127.23053257961202,5.895935736041821,5.770383805865791,2.411516721056995,0.09887153040070018,0.105270550337623,2.1300076964366936,0.34741179724755344,0.35194431218137723,34.31493147024241,2.2701903112830877,2.3969514119115445
1935,0.2489999979734421,10.583690560868092,0.04362366162100258,0.04351498731617741,139.63317996802374,10.030791112903927,11.091435868769622,2.355448086425856,0.14330341372131938,0.15426513759644056,2.062050759368283,0.39999313249209645,0.41157667683563437,29.68881177349293,3.3568899400194674,3.5349439748962226
1936,0.4785999953746796,11.399079258965733,0.03222533206423049,0.03209345056039437,105.48028290094774,6.922493456001234,6.211113297265058,2.548453692009055,0.11248693651251207,0.12723399929262813,2.0171013694929245,0.39244044846408643,0.3980323876306979,44.8047552848065,3.1813885334459755,3.9352981228578585
1937,0.33730000257492065,10.89570440754452,0.033193896506624014,0.03433501759416935,241.05728783733204,16.761303897085924,13.788006779516849,1.7194650659937794,0.07511420290026516,0.08292833482451734,2.2092442474310126,0.42451609753345143,0.39854084970407655,13.2173301762472,1.6561511948910077,2.327418976054192
1938,0.3391999900341034,11.40192193063761,0.01610933572993203,0.015826896866309937,108.00905989054243,4.038271815279316,3.8657911745727063,2.6219147602726727,0.10340604419518895,0.11669991277297154,1.9387023218181998,0.3429152083438787,0.38269370788927226,43.138361377592645,1.8396493975599597,2.01449017087414
1939,1.1793999671936035,12.201975111949615,0.033894534794388205,0.03368297355828983,120.78939072014134,6.988505568005166,8.62581494208925,2.1328281367519333,0.10140743229779048,0.09610193105834242,1.501321941555398,0.33527277761786234,0.359600644976136,36.24744175611527,3.2035653771030255,2.899886526358003
1940,0.3816,11.033749575977279,0.03317083397567417,0.032525545378454555,110.43475283902966,7.3148283235693015,6.858559615885127,2.622539889818829,0.12319387105101764,0.14304309273347116,2.0574246050968177,0.39582973632036667,0.411679862050498,42.207950543001175,3.3664924878717883,3.9930554642874867
1941,0.3420000076293945,11.483047816104982,0.013018759139958445,0.01363568130577156,105.17763101845567,3.5136805008284995,3.427806910200644,2.723450383461546,0.10607802815610201,0.12084348802713007,2.245013251515183,0.3292690137148999,0.35342252761123927,45.85360602712823,1.7209928970367656,1.8314080979541032
