,z,F24,F70,F100,F160,F250,F350,F500,F850,F1point1mm,F1point2mm,E24,E70,E100,E160,E250,E350,E500,E850,E1point1mm,E1point2mm,RA24,DEC24
66,0.4284000098705292,0.41999998688697815,0.0,12.515999794006348,13.006999969482422,11.252300262451172,2.731600046157837,0.0,1.1127107903968638,0.0,0.0,0.02701851224390979,-99.0,1.683558956047298,2.7486890764118788,5.817437822436452,6.300947438449196,6.8,1.3096853916406928,0.0,0.0,150.625218,1.9526290000000002
67,0.913699984550476,0.6079999804496765,0.0,13.182000160217285,15.920999526977539,15.835200309753418,7.703400135040282,2.9093000888824463,-0.09594101491829067,0.0,0.0,0.034830446049091385,-99.0,1.7284415152456072,4.5161275337575475,5.834484185440905,6.307531038197503,6.800995694985512,1.1798938723406436,0.0,0.0,149.939418,1.966071
68,0.7292000055313109,0.367000013589859,0.0,6.934999942779541,9.407999992370604,10.493300437927246,4.133800029754639,0.0,2.6861645520063933,0.0,0.0,0.027887676723711948,-99.0,1.5686364731048916,3.0493102303126847,5.815167664524298,6.302169569624225,6.8,1.3173772810904243,0.0,0.0,150.626082,1.975239
69,0.3786999881267548,0.33399999141693115,0.0,11.446999549865724,13.190999984741213,17.271299362182614,11.835399627685547,4.318999767303467,1.4057306064289663,0.0,0.0,0.024553817580394745,-99.0,1.7239836101527737,2.703979975133859,5.840999610567784,6.317762475351161,6.802194205870923,1.3540214486594906,0.0,0.0,150.681739,1.983171
70,0.6464999914169312,0.3190000057220459,0.0,5.064000129699707,17.966999053955078,10.762900352478027,3.025500059127808,0.0,2.09851243690811,0.0,0.0,0.022592090063678457,-99.0,1.346222237536675,4.107363885910929,5.815955986628149,6.301162261120758,9.416999816894533,1.295516210866999,0.0,0.0,149.80919699999998,1.986103
71,0.6680999994277954,0.328000009059906,0.0,8.812000274658203,14.54699993133545,12.311400413513185,6.063000202178955,4.271599769592285,0.8586704885197642,0.0,0.0,0.022225211018119997,-99.0,1.6044063461787694,2.9783930824337306,5.820868743428852,6.304666204829768,6.802146315931943,0.9180301928504074,0.0,0.0,150.082216,1.997659
72,0.9046000242233276,0.479999989271164,0.0,10.595000267028807,20.875999450683594,18.980600357055664,13.3818998336792,16.754999160766598,0.3465364970222539,0.0,0.0,0.0288444101789149,-99.0,1.9884620038359817,3.3497503627369896,5.8494804131531914,6.322698821630981,6.832947240759557,1.1079421930921285,0.0,0.0,150.530074,2.0111
73,1.7368693351745603,0.3009999990463257,0.0,0.0,12.854999542236328,19.86529922485352,16.234899520874027,6.809599876403809,1.6959263468747008,0.0,0.0,0.02124858791794025,-99.0,-99.0,3.437673943442232,5.854178693998736,6.333381019639082,6.805453184084271,1.376427073728209,0.0,0.0,150.737605,2.0129650000000003
74,1.1468607187271118,0.17399999499320984,0.0,12.489999771118164,27.089000701904297,23.897300720214844,19.080900192260746,9.689599990844727,2.668180101457085,0.0,0.0,0.061617287178756974,-99.0,2.18121325419797,3.9707054567695415,5.878242047648243,6.346064071803501,6.811036731421446,1.171246031852733,0.0,0.0,150.580871,2.022826
75,0.4018999934196472,0.3569999933242798,7.300000190734862,10.630000114440918,17.517999649047848,5.70419979095459,2.726300001144409,1.4097000360488892,1.177729924971903,0.0,0.0,0.023315713114240275,1.9423953913109235,1.9648671069840569,3.961465505139077,5.804486250514183,6.3009437657158935,6.8002337905918075,1.2718377874486546,0.0,0.0,149.800832,2.014589
76,0.4397999942302704,0.4000000059604645,0.0,19.777999877929688,26.07500076293945,17.381599426269528,8.658499717712402,1.7948999404907229,-1.3431131938215617,0.0,0.0,0.0256124976571912,-99.0,1.9465309169187732,3.32578006119954,5.841523088868557,6.309512769444134,6.800379008943119,1.2641777989639449,0.0,0.0,150.649204,2.031243
77,1.3607381582260132,0.1420000046491623,0.0,0.0,0.0,21.63990020751953,23.77720069885254,8.670200347900389,2.6650780918354124,0.0,0.0,0.01934967636437189,-99.0,-99.0,-99.0,5.864235367853702,6.3713866965455495,6.808838065229366,0.9126689734670927,0.0,0.0,150.157023,2.039864
78,0.6480000019073486,0.5230000019073486,0.0,18.89299964904785,31.660999298095703,27.33390045166016,14.676199913024902,8.011500358581543,-0.9516824663709617,0.0,0.0,0.030146682983861313,-99.0,1.625281473556161,4.1175956659162845,5.902154469534158,6.327292102488973,6.807546887153468,0.9095251832211576,0.0,0.0,150.078459,2.045814
79,0.7049999833106995,0.4070000052452088,0.0,9.510000228881836,28.875,18.766700744628906,12.424500465393065,3.829400062561035,-0.5920542636281483,0.0,0.0,0.026516457947577548,-99.0,1.5640203002208262,4.724360764901429,5.848376055875812,6.319571911047716,6.8017249935397,0.9262567695851496,0.0,0.0,150.208089,2.0495229999999998
81,1.3208999633789062,0.17900000512599945,0.0,0.0,24.202999114990234,20.340999603271484,14.17650032043457,5.850800037384032,1.0449149571477545,0.0,0.0,0.01661633282910259,-99.0,-99.0,3.7085921479170105,5.85679178593336,6.3254689200198,6.804026085908543,1.2172017699796993,0.0,0.0,150.627863,2.053
82,1.4372999668121338,0.23499999940395355,0.0,9.272000312805176,18.93000030517578,32.367000579833984,28.142000198364254,18.633100509643555,2.222082513725268,0.0,0.0,0.04941722917519726,-99.0,1.6350045368715125,3.718902135658405,5.942743168138428,6.399777768037229,6.840724223016447,1.0368196423085427,0.0,0.0,150.38074,2.057207
83,0.945911467075348,0.1940000057220459,0.0,18.44700050354004,34.53300094604492,25.685699462890625,15.798999786376953,8.043100357055664,0.9890704846623504,0.0,0.0,0.018710692928619196,-99.0,1.2706575485641756,4.365309191901975,5.890297806650925,6.331616968105375,6.807606506061133,1.0279764600096342,0.0,0.0,150.375931,2.0637689999999997
84,1.5692000389099119,0.3930000066757202,0.0,15.866000175476074,25.59600067138672,29.73819923400879,26.642900466918945,12.330699920654295,2.0405560128341116,0.0,0.0,0.024720892036079658,-99.0,2.00797682580554,4.365751257735688,5.920724346724019,6.389503160063717,6.8178643178676674,1.3698639345371209,0.0,0.0,150.756163,2.061921
85,1.2103999853134155,0.382999986410141,0.0,0.0,11.522000312805176,19.023000717163086,17.983999252319336,12.670499801635742,-0.17464701938950625,0.0,0.0,0.024325346121219667,-99.0,-99.0,3.5629340903283566,5.849700786369872,6.3409367420414995,6.81886108557413,0.8888798405486096,0.0,0.0,150.157103,2.066464
86,0.335999995470047,0.5339999794960022,0.0,9.840999603271484,19.73500061035156,6.432899951934815,0.0,0.0,0.1306451866860843,0.0,0.0,0.03062498873789252,-99.0,1.964727757198292,4.366941498796374,5.805705084041607,6.3,6.8,1.256609575538629,0.0,0.0,150.668368,2.0844
87,0.19990000128746035,0.4230000078678131,0.0,16.490999221801758,26.101999282836914,8.978500366210938,0.7996000051498413,0.0,0.5010041270378467,0.0,0.0,0.027772693220958097,-99.0,2.060525287337728,3.3717264956256714,5.811108461397161,6.300081188069656,11.696000099182127,0.9875909689719962,0.0,0.0,150.302004,2.099834
88,0.8144999742507935,0.42399999499320973,0.0,10.935999870300293,16.865999221801758,14.160799980163574,6.82480001449585,0.0,1.7044932373184818,0.0,0.0,0.02781078858088407,-99.0,1.907852282919575,3.8722225931932597,5.827593432088853,6.305911879528653,6.8,1.1745854734201295,0.0,0.0,149.62550900000002,2.103997
89,0.7070000000000001,0.36000001430511475,0.0,5.933000087738037,19.69099998474121,16.83799934387207,11.291199684143065,3.815200090408325,0.8495180950319335,0.0,0.0,0.025455844080568883,-99.0,1.6172511450761653,4.63540713475024,5.83897500894179,6.3161686095679475,6.801712225812539,1.1502795753396096,0.0,0.0,149.687324,2.103924
90,0.16660000383853912,0.30000001192092896,0.0,7.921000003814697,19.101999282836914,7.506499767303468,1.4522000551223757,0.0,-0.20903794483505256,0.0,0.0,0.10111874364283124,-99.0,1.2324033281543898,4.487527336439649,5.8077668739379025,6.300267789229292,6.8,0.969955984620936,0.0,0.0,150.297179,2.117779
91,0.1685120016336441,0.8090000152587891,30.399999618530273,51.808998107910156,0.0,32.455799102783196,14.725899696350098,11.702300071716307,0.33633219055697844,0.0,0.0,0.0438771306392459,4.413796560019751,2.575059263136429,-99.0,5.9435180013726185,6.327476858510598,6.8160919978496155,1.0384583320567915,0.0,0.0,149.95120500000002,2.117711
92,0.3273000121116638,0.4510000050067902,0.0,9.711999893188477,22.55500030517578,15.517200469970705,5.349899768829347,9.6766996383667,-0.9755137581575748,0.0,0.0,0.02885311912766692,-99.0,1.5511659215208786,4.529755734418842,5.833116972655393,6.303633419231992,6.8110073869748415,0.9836814004074989,0.0,0.0,150.327966,2.119024
93,0.8418999910354614,0.3650000095367432,0.0,12.885000228881836,0.0,23.15940093994141,21.22470092773437,0.0,3.0875565985712243,0.0,0.0,0.02427061065822721,-99.0,1.28771081991837,-99.0,5.873514498410226,6.35694743466979,33.437000274658196,1.0819520030525078,0.0,0.0,149.703093,2.1279689999999998
