,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th
60,0.0529,10.422291593688513,0.04683083292033135,0.04927983777905155,146.37477293386254,7.487080034289363,8.13279878540689,2.57680082941029,0.1770307723629294,0.19563107074350228,1.8613814727356583,0.2429486173429518,0.2496761665921139,27.618212479466088,2.258245511056135,2.2650254247368764
62,0.06885,10.830152279864755,0.03834417394838143,0.041476405115631575,124.69278507861321,6.332143699555957,6.405475361173245,2.571678124637712,0.17056154203495977,0.1885106185584533,1.7164434089070755,0.23308522420048705,0.2315964217463582,34.688249681203,2.2974166478276814,2.4339728115162984
65,0.05214,10.706606585807446,0.03708077028085953,0.04121951540520684,120.05215117598244,6.459650173518696,6.360684406046886,2.3842379620639687,0.16944067382930683,0.18924085826452863,1.7784581353026399,0.22661326471764132,0.2315258454246969,36.67378408730322,2.465867748708334,2.6357555218394495
67,0.07301,11.05987067665099,0.028273328034885217,0.030497877118885977,103.45063027926767,5.847113394178436,5.359960143781194,2.1265766028490383,0.15091432318706577,0.18559766092173025,1.7925575333967996,0.23974608462468128,0.2394816671893012,45.13352187068744,2.4627122998204314,2.9180291734457455
68,0.05417,10.350931903911913,0.031091019965380575,0.03137127159243046,139.92390861757985,4.738060013725885,4.5885376413168615,2.6024650343831235,0.17647961133756151,0.21055057699431678,1.80569771289079,0.22442708879343032,0.22609856530103545,29.487763206053433,1.4197674445337434,1.548751558291869
69,0.07597999999999999,10.720132651227424,0.035669111257727135,0.03751988128486203,137.1399184009323,5.334575749746733,5.179252610070193,2.882386695584608,0.20187863415597018,0.2431228800024754,1.6978943401636397,0.21990533430978876,0.21839401653430568,30.4014659388349,1.6225637639378512,1.7819279942135857
71,0.08781,11.041907690663468,0.04640674126272759,0.05210481089256406,124.75065214055539,7.286493750300309,7.421929969178137,2.6045306287789374,0.18781456155979415,0.22011469468575973,1.668608533827775,0.22933775448201543,0.23388158664881575,34.6497400746435,2.6591695525047534,2.8192984259546776
72,0.19552,11.959597562822566,0.028416579623948387,0.03135723717259845,95.35874829859179,3.272108638137098,3.3196388462487505,4.235466704281739,0.2527172499905128,0.27904474900833076,2.053136900752061,0.20209360980943591,0.21038275655026117,51.40640766579007,1.8077964203655768,1.8789443175504914
73,0.05482000000000001,10.694510118956876,0.026793747996430004,0.029137503127131963,117.41285237417026,4.740842747377499,4.435062848076427,2.6580394464020225,0.16121907255237122,0.18259579040317142,1.9610596035617345,0.21305478160105285,0.21749590860425672,38.225580873387905,1.7283004613802362,1.9133056239964787
75,0.18153,11.73680522060555,0.03180404992145568,0.03403333504537704,103.97078807526312,4.0947354959882745,4.0816870535096825,3.559028264440702,0.2128525940273942,0.24251468939789866,1.6273107030756928,0.21067411162726768,0.2127684095218123,44.2609502318259,1.8927888920716782,1.9711464393713385
76,0.05397999999999999,10.420024092149406,0.044683122087414796,0.04802155146539654,126.97011982290014,6.255944078993025,6.404737964735276,3.047438609919465,0.24927026580162392,0.2777327931935565,1.9212107358656014,0.24920815438118504,0.2496705396017449,34.00405191610729,2.303382542924389,2.3607290755335484
77,0.21320999999999998,11.579338421291109,0.04276895306441676,0.04546027836609324,124.65423685289775,5.277390223835297,5.3451001438533865,3.0727574205779336,0.2418607968383797,0.27202182674600595,2.067788821632673,0.24698962580564388,0.24857812336642793,35.177045892967584,2.0365072367313104,2.1042583602250744
79,0.058120000000000005,10.59926809050619,0.03280368402656035,0.036151268813464615,120.66288022762069,6.861995075484515,6.347233688889617,2.236512876571992,0.15245581175264178,0.17626907702118366,1.8892784557097948,0.2560180859512715,0.2517622638131316,36.5905210389582,2.410065668134685,2.7732004726084654
80,0.06976,10.659830453160716,0.030715958334466154,0.031075731270966394,126.99011372078407,4.79139462056672,4.643115577379987,2.484948357314334,0.16760546624897277,0.19642277629069316,2.016754718741935,0.248739432148116,0.24651356558790205,34.12397404052966,1.6564940819971952,1.7529590804920616
81,0.128,11.717038410736308,0.028059921031687356,0.03140077655228292,91.21175110983003,4.520169033320499,4.43539919830026,2.614058373506028,0.19751482175309798,0.22970337845140731,2.1780074541971417,0.22859034812309686,0.24131937480807375,54.7555972414086,2.5993237856248825,2.9284177210034414
84,0.05002,10.421703968528767,0.025498199552370527,0.026358627296915998,129.68575530387614,4.021455757403231,3.932187092852928,2.973317702903471,0.18396281291872585,0.21412401769881528,1.9480344504223541,0.21024097574512113,0.21476033298439368,32.947340363451914,1.331381577934529,1.4232394412629858
85,0.05125,10.488002690902,0.06528986398377926,0.06991890595282547,140.48453601005846,9.19418844164582,10.52683724027807,2.6132225007422027,0.23044499962956566,0.25457263774047423,2.0168728797352147,0.26613924532892486,0.27247420322083693,29.268544736730902,3.1573688835186005,3.07229469626418
86,0.15281,11.480437991471309,0.031236380190358667,0.03390005431864668,117.42140088654946,5.250891032832527,5.074302533687117,2.451221723298263,0.1504256215351436,0.16262385275648183,2.0032424808073444,0.24816177227756597,0.25172319968973333,38.35927472306345,2.042366569953842,2.1466210355693605
87,0.07368999999999999,10.716470763559144,0.033903803332067516,0.03464371760367755,133.06675360448165,5.534414268141234,5.13071873847241,2.413529370425029,0.14757948417617905,0.16388752346477986,1.9899296015051144,0.24443042965718798,0.2402994722759908,31.76524407941718,1.7552381463801652,1.922300887946328
89,0.0584,10.91891007034586,0.051439053293991045,0.05832080877007682,115.10027060344211,7.823968068370533,7.937412524600788,2.5427849970184453,0.24015511669016565,0.27702028129048184,2.232578749501788,0.26810965616003113,0.2721356530991832,40.19242451456739,3.4599136948500515,3.683680197380127
90,0.07814,11.218859470443899,0.0306055129029444,0.03537060744573962,92.39259484425678,5.448661200530481,5.30551692545464,2.4867394722966942,0.20456453368296756,0.2481002747733223,1.5082930922781972,0.21588908116382544,0.21973879046095512,51.065177723055584,2.888048070414314,3.307545890737444
93,0.2756,11.980456207926695,0.03497216595804142,0.03829360512572853,110.29881350379819,5.148610193847105,5.296409591433559,2.4760787000097673,0.1648624426410481,0.1812016718293754,2.0132558222321792,0.25978841375432804,0.26735257361023823,42.01536000814461,2.3098131207223034,2.4137408569616383
94,0.17276,11.563722578283816,0.03288299226124058,0.0336608229327621,118.55203834485462,4.670801718916167,4.6736480598891035,2.844208992760114,0.1715353392615242,0.18740987056739167,1.9430024239002006,0.23208284279412683,0.23265306523448892,37.65819333851766,1.8470804855271297,1.9183967104312956
96,0.07876,10.823960397748163,0.04274297648734142,0.047715870822643114,130.8005729122383,7.045407629374495,7.278588662708415,2.4087565192024005,0.17402438627512407,0.18840846786543164,1.939622968583397,0.2542569445983136,0.25738351193460796,32.54084272397576,2.4896705632336484,2.5687288522771965
98,0.05405,10.411786892883367,0.06345280003049296,0.06929881788978133,143.86792792144723,12.041039449428439,13.719262002957606,2.0964945779724484,0.2189250413755257,0.2397191868094657,1.5605168554346198,0.3253279387093073,0.3377081064639953,28.6828676768055,3.654517895285146,3.7770043663363566
102,0.0776,10.972861014184716,0.03821462389694644,0.04053446454674835,95.51121456140332,4.165152940560873,4.575561541238656,3.5997196771248925,0.2726916731795783,0.3016533338528191,1.4448337168586094,0.2008644826734347,0.20603710788303653,48.75137615655726,2.4842318319108614,2.3824435014940164
103,0.06989,10.41450249439974,0.08221423863749118,0.11089620651521948,169.61891337645102,18.41387275481091,19.57855967682957,2.2959033952871173,0.2582923440752869,0.3122497433622988,1.90329103171383,0.34422485447393414,0.36326034560137055,22.369995731279275,3.7907817035068803,4.36607678084534
104,0.05057,10.842757607407677,0.027558806703538066,0.030414423629663907,99.56777197955651,5.909002387116743,5.58243133039457,2.084901290540724,0.16192158899847375,0.2018380844079788,1.8012432060193704,0.2362594341655473,0.24716240513441434,47.539090288041606,2.6672018226851364,3.1529571650641515
106,0.07849,11.092853422025991,0.028123054363954646,0.03207740793721008,103.62343695435231,6.38475151783868,5.926210894783139,2.072596525089648,0.15678634458920726,0.19051799295077787,1.6528656291676938,0.2574758275268916,0.25593368078229606,44.54054869084479,2.6786174825226396,3.1582736407591625
107,0.21305,11.731534807241374,0.03403425576483767,0.03654294713854653,114.98539095998811,5.019867860560765,5.138289618340977,2.586360496707597,0.16112025972862254,0.1759596223909181,2.0081423806354577,0.24725572408450058,0.25299708717348723,39.56293611459944,2.1357204048278504,2.2127961011056385
108,0.11367999999999999,11.120211565273147,0.03218564498696604,0.034084867932815316,129.68575530387614,5.492244976461521,5.545431483363586,2.0468984801309205,0.12751412678804241,0.1371714676689293,2.192494609609409,0.26198002501165507,0.2682789482319934,33.287398878747894,2.0131805801668214,2.0477030926834345
109,0.08295,11.056291222813059,0.03028981969302829,0.03415669685668718,108.27007590890923,5.308140287532979,5.146695196745185,2.654466372266784,0.17809835933165763,0.2040711268093225,2.0031351392068086,0.24799299701635102,0.2544797446236786,43.13191123451081,2.2544816684172844,2.456339675390012
110,0.14751,11.383392738615282,0.03756270591724925,0.04096583154157795,115.59522309523174,5.507206846078049,5.284694802306831,2.8158082546695526,0.19192238286629948,0.21409695199528,2.131424160989385,0.25653803755179805,0.2712473400145079,39.66618090113127,2.2740538822888112,2.3544085992877086
111,0.15653,11.257787986081663,0.03754131526896389,0.039306072009097116,119.90934762667047,5.705567215327321,5.852936641693702,2.5475174266499785,0.18558755962000806,0.2066103767178178,1.748815438506453,0.27871079724559045,0.28539806050173766,36.720785583262696,2.2135694937837798,2.3046343455382896
112,0.05562,10.39508411898817,0.0729290375544459,0.08086763312224775,140.50901304077203,10.90662418565222,12.474423276940911,2.4785320192304203,0.2590279386663057,0.2816084472564695,1.8544426919519064,0.3027038593285718,0.30663801285591563,29.34199982806819,3.6248106729241805,3.583068187461187
114,0.05538,10.55916136046084,0.05013866394175658,0.05660017214095103,124.34670695540242,7.2094535165267075,6.965018379741053,2.807767654052438,0.22133292490127587,0.25013125095251443,2.112721966108601,0.2670266816981721,0.2674393558319097,35.41614582080798,2.661698299307126,2.9323231489076917
116,0.10142000000000001,11.057174430309518,0.033181801552321054,0.03525941713605827,121.4442292161303,5.7992766483820475,5.706062660283337,2.2817541272825723,0.14813922869908192,0.16506554732432477,1.8296858373722649,0.25458652733182574,0.26765656470042254,36.17130663581955,2.139808161704238,2.2901806658065667
118,0.09468,11.056990155533047,0.03699525949376706,0.040126676710612375,122.27283009408985,7.010682535808542,6.87295241448858,2.0788254065666196,0.15155423687381608,0.17285284342094176,1.9116739720916085,0.27045104671834563,0.27004797613944476,35.94197860890864,2.606154733197421,2.8150817448032157
119,0.05485,10.461922796287922,0.06316455361703492,0.07079970788021345,127.49201573267199,8.53777669649655,9.067336969523282,2.7750957798416085,0.25580418046828735,0.2881458631875935,2.00956612397746,0.2817128134598528,0.28045678774002214,33.929096087780366,3.2930916980089258,3.3275486332906112
120,0.13257,11.263762751928585,0.030584382440369134,0.03306034014071939,111.73534548355627,5.504752679051293,5.183849683423517,2.3416679806476015,0.15324729437543327,0.17563337729541573,1.9057006229478266,0.27166934577738067,0.2740508902561154,40.947773390276744,2.2031820897027146,2.400108411443682
123,0.10664000000000001,10.843427563258434,0.04930202535931099,0.05255494419108253,136.5824809363096,8.074664370201305,8.842053882307482,2.284919195098639,0.18882398970244907,0.21327698758181413,1.8917637887253398,0.3015034203232563,0.31122990237902837,30.55066824017205,2.7891477072144184,2.783508206563461
