,z,LIR_med,LIR_16th,LIR_84th,LPeak_med,LPeak_16th,LPeak_84th,alpha_med,alpha_16th,alpha_84th,beta_med,beta_16th,beta_84th,tdust_med,tdust_16th,tdust_84th,sigma_clipped
344,0.02557,10.184588428951617,0.027199924102656294,0.026588021581143033,141.12372299394127,4.494962078902063,4.827193222097549,2.3342085487802136,0.10141023083898393,0.10395243382647523,2.045452312806634,0.17463786948737958,0.17444379890341644,29.019630218694317,1.5075228718507674,1.4550224575951205,
345,0.025830000000000002,10.020679352939869,0.026103679720703415,0.026811703323098644,126.6709650777323,5.845379762537519,5.610018414758528,2.1127365653086754,0.10048610452083873,0.10930754003671606,2.2007631883659657,0.2769070177993451,0.28678882329394684,34.569075316299426,1.994607052621852,2.1413687091148432,
346,0.02615,10.751047005847585,0.011711282706137981,0.011505864482494906,115.41324703413831,2.441344556978663,2.359691536060211,2.3308809272182227,0.07452576676252987,0.07903665361403434,2.1800485046330715,0.10796342028987826,0.10639039745448509,39.83580586078632,0.955440405972368,1.0284010237897618,
347,0.026160000000000003,10.351271499868941,0.0291680678249751,0.028928309063912642,148.97052886556324,4.664955872909928,5.153168968822797,2.755507258077075,0.1209444636996273,0.12027169483620526,2.0348694371178464,0.24567722278431892,0.24674779740417874,26.747200285384913,1.4828738571341233,1.427045423544108,
348,0.02645,10.542724098869673,0.015603694360137052,0.01572240395723906,115.19892172730992,3.0284118735929866,3.1964731193604763,2.2559421606945,0.07592096026665418,0.07795125333300534,1.8098884841045566,0.13521994962094852,0.13906772845558235,38.87552119537789,1.2599409836763655,1.239000869207942,
349,0.027000000000000003,10.36130813311966,0.01674493888035045,0.017192783739572077,135.66342111296638,3.3824376204755424,3.15255010186587,2.3206925829556138,0.0786572554053131,0.08239555552230948,2.038786347426005,0.16730812954812668,0.17340810178161625,30.82867346094917,1.0467144942974116,1.1305084603833109,
350,0.02727,10.46416565879263,0.02111178510899018,0.020937461114545603,112.54621475157981,3.779650797832275,4.085520361104983,2.539027688131217,0.11092100399332683,0.11671908923811847,1.5410568182609679,0.1868783078151488,0.19964341840688893,39.63135176393466,1.62908440772555,1.6061443231779151,
351,0.027489999999999997,10.456655513074955,0.01923683489776808,0.020118623308550358,123.18803979998977,3.811193170927311,3.9422077123641515,2.2297901746513045,0.09281699260488807,0.1020735656390368,1.9111405931953764,0.16097619213884506,0.17335163087849548,35.48688897435042,1.4614494861557574,1.464102483061346,
352,0.0276,10.3644608106074,0.02064917417310486,0.02090858997122683,135.412844036697,5.014119870572728,5.022763486794361,1.7768502266556425,0.07010521994089003,0.07518216449317472,1.6248167204120358,0.21129688963743232,0.21746319780558632,30.973439981135677,1.6295417384066866,1.7237790043016403,
353,0.027739999999999997,10.147015284598478,0.027191345227811598,0.028231114049166138,131.8915682196173,5.775270173556763,5.599065137318718,2.1227886424618463,0.0963015991637528,0.1036226339869466,1.8245625840159883,0.24216040576104403,0.23962503071985664,32.09507644978048,1.8825294169052746,2.0269086591061694,
